Функционал и баллы

	Функция	
1	Составление расписания мастер-классов	11
	После авторизации ведущего открывается страница «Личный кабинет». 	0.5
	При создании нового мастер-класса добавляется запись в базу данных.	1
	Создание мастер-класса возможно только под учетной записью ведущего.	1
	При добавлении мастер-класса ведущий может ввести название и описание мастер-класса, дату, время, количество человек в группе, стоимость. Все поля обязательны для заполнения. Если хотя бы одно поле не заполнено, запись в базу данных не добавляется.	2
	При добавлении мастер-класса занятые дата и время отображаются как неактивные не могут использоваться.	2
	Мастер-классы планируются продолжительностью 2 часа с 9.00 до 17.00. Сетка занятий жестко определена: 9-11, 11-13, 13-15, 15-17ч. 	1
	В списке для ведущего отображаются только мастер-классы, созданные под его логином.	1
	Ведущий может просмотреть информацию о каждом мастер-классе с выводом списка участников.	0,5
	В режиме ведущего реализована возможность редактирования мастер-класса: описание мастер-класса и стоимость.	2
2	Запись пользователя на мастер-класс	7
	Главная страница (до авторизации) – содержит меню «Виды творчества», кнопку/ссылку «Вход/Регистрация», сведения о компании.	1
	Неавторизованный посетитель может записаться на мастер-класс только после авторизации. До авторизации кнопка записи не видна.	1
	После нажатия на кнопку «Регистрация» для неавторизованного пользователя появляется форма авторизации: email, пароль, ссылка на форму регистрации.	1
	В форме регистрации производится проверка полей «email» и «телефон» на корректность.	0,5
	При регистрации данные пользователя записываются в базу данных.	1
	После нажатия на кнопку «Записаться» открывается страница подтверждения записи пользователя на мастер-класс, содержащая ФИО пользователя, вид творчества, ФИО мастера, дата, время, кнопки подтверждения и отмены.	0,5
	После нажатия на кнопку подтверждения или отмены выводится соответствующее сообщение и происходит переход на страницу «Вид творчества».	0,5
	Авторизованный пользователь видит на главной странице список мастер-классов, на которые он ранее записался.	0,5
	Пользователь не может записаться дважды на один и тот же мастер-класс (то же и время и дату).	0,5
	Пользователь может записаться на мастер-класс только при наличии свободных мест.	0,5
